VZA VAZ SZA SAZ WV OZ AOT XA_RED XB_RED XC_RED XA_NIR XB_NIR XC_NIR
575 1000 300 1400 30 275 0 259 4280 5207 363 1526 2023
575 1000 300 1400 30 275 100 269 5627 7504 376 2592 4468
575 1000 300 1400 30 275 200 279 7090 9516 390 3760 6533
575 1000 300 1400 30 275 300 290 8679 11339 405 5064 8402
575 1000 300 1400 30 275 400 301 10393 13017 420 6476 10110
575 1000 300 1400 30 300 0 260 4277 5207 363 1526 2023
575 1000 300 1400 30 300 100 270 5624 7504 376 2592 4468
575 1000 300 1400 30 300 200 281 7087 9516 390 3760 6533
575 1000 300 1400 30 300 300 292 8675 11339 405 5064 8402
575 1000 300 1400 30 300 400 303 10389 13017 420 6476 10110
575 1000 300 1400 40 200 0 256 4317 5207 368 1546 2023
575 1000 300 1400 40 200 100 265 5669 7504 381 2616 4468
575 1000 300 1400 40 200 200 276 7137 9516 395 3789 6533
575 1000 300 1400 40 200 300 287 8731 11339 410 5099 8402
575 1000 300 1400 40 200 400 298 10450 13017 425 6517 10110
575 1000 300 1400 40 225 0 257 4314 5207 368 1546 2023
575 1000 300 1400 40 225 100 267 5666 7504 381 2616 4468
575 1000 300 1400 40 225 200 278 7134 9516 395 3789 6533
575 1000 300 1400 40 225 300 288 8727 11339 410 5098 8402
575 1000 300 1400 40 225 400 300 10447 13017 425 6517 10110
575 1000 300 1400 40 250 0 259 4312 5207 368 1546 2023
575 1000 300 1400 40 250 100 269 5663 7504 381 2616 4468
575 1000 300 1400 40 250 200 279 7131 9516 395 3789 6533
575 1000 300 1400 40 250 300 290 8724 11339 410 5098 8402
575 1000 300 1400 40 250 400 301 10443 13017 425 6517 10110
575 1000 300 1400 40 275 0 260 4309 5207 368 1546 2023
575 1000 300 1400 40 275 100 270 5660 7504 381 2616 4468
575 1000 300 1400 40 275 200 281 7128 9516 395 3787 6533
575 1000 300 1400 40 275 300 292 8721 11339 410 5098 8402
575 1000 300 1400 40 275 400 303 10440 13017 425 6517 10110
575 1000 300 1400 40 300 0 262 4306 5207 368 1546 2023
575 1000 300 1400 40 300 100 272 5657 7504 381 2616 4468
