VZA VAZ SZA SAZ WV OZ AOT XA_SWIR XB_SWIR XC_SWIR 
650 1000 0 0 60 360 600 1970 4365 9152
650 1000 0 0 60 360 700 2045 5371 10254
650 1000 0 0 60 360 800 2121 6449 11296
650 1000 0 0 60 360 900 2197 7593 12283
650 1000 0 0 75 0 0 1593 79 125
650 1000 0 0 75 0 100 1655 559 2184
650 1000 0 0 75 0 200 1722 1144 3868
650 1000 0 0 75 0 300 1790 1825 5362
650 1000 0 0 75 0 400 1859 2597 6722
650 1000 0 0 75 0 500 1932 3451 7979
650 1000 0 0 75 0 600 2006 4385 9152
650 1000 0 0 75 0 700 2081 5396 10254
650 1000 0 0 75 0 800 2158 6478 11296
650 1000 0 0 75 0 900 2236 7628 12283
650 1000 0 0 75 60 0 1593 79 125
650 1000 0 0 75 60 100 1655 559 2184
650 1000 0 0 75 60 200 1722 1144 3868
650 1000 0 0 75 60 300 1790 1825 5362
650 1000 0 0 75 60 400 1859 2597 6722
650 1000 0 0 75 60 500 1932 3451 7979
650 1000 0 0 75 60 600 2006 4385 9152
650 1000 0 0 75 60 700 2081 5396 10254
650 1000 0 0 75 60 800 2158 6478 11296
650 1000 0 0 75 60 900 2236 7628 12283
650 1000 0 0 75 120 0 1593 79 125
650 1000 0 0 75 120 100 1655 559 2184
650 1000 0 0 75 120 200 1722 1144 3868
650 1000 0 0 75 120 300 1790 1825 5362
650 1000 0 0 75 120 400 1859 2597 6722
650 1000 0 0 75 120 500 1932 3451 7979
650 1000 0 0 75 120 600 2006 4385 9152
650 1000 0 0 75 120 700 2081 5396 10254
650 1000 0 0 75 120 800 2158 6478 11296
650 1000 0 0 75 120 900 2236 7628 12283
650 1000 0 0 75 180 0 1593 79 125
650 1000 0 0 75 180 100 1655 559 2184
650 1000 0 0 75 180 200 1722 1144 3868
650 1000 0 0 75 180 300 1790 1825 5362
650 1000 0 0 75 180 400 1859 2597 6722
650 1000 0 0 75 180 500 1932 3451 7979
650 1000 0 0 75 180 600 2006 4385 9152
650 1000 0 0 75 180 700 2081 5396 10254
650 1000 0 0 75 180 800 2158 6478 11296
650 1000 0 0 75 180 900 2236 7628 12283
650 1000 0 0 75 240 0 1593 79 125
650 1000 0 0 75 240 100 1655 559 2184
650 1000 0 0 75 240 200 1722 1144 3868
650 1000 0 0 75 240 300 1790 1825 5362
650 1000 0 0 75 240 400 1859 2597 6722
650 1000 0 0 75 240 500 1932 3451 7979
650 1000 0 0 75 240 600 2006 4385 9152
650 1000 0 0 75 240 700 2081 5396 10254
650 1000 0 0 75 240 800 2158 6478 11296
650 1000 0 0 75 240 900 2236 7628 12283
650 1000 0 0 75 300 0 1593 79 125
650 1000 0 0 75 300 100 1655 559 2184
650 1000 0 0 75 300 200 1722 1144 3868
650 1000 0 0 75 300 300 1790 1825 5362
650 1000 0 0 75 300 400 1859 2597 6722
650 1000 0 0 75 300 500 1932 3451 7979
650 1000 0 0 75 300 600 2006 4385 9152
650 1000 0 0 75 300 700 2081 5396 10254
650 1000 0 0 75 300 800 2158 6478 11296
650 1000 0 0 75 300 900 2236 7628 12283
650 1000 0 0 75 360 0 1593 79 125
650 1000 0 0 75 360 100 1655 559 2184
650 1000 0 0 75 360 200 1722 1144 3868
650 1000 0 0 75 360 300 1790 1825 5362
650 1000 0 0 75 360 400 1859 2597 6722
650 1000 0 0 75 360 500 1932 3451 7979
650 1000 0 0 75 360 600 2006 4385 9152
650 1000 0 0 75 360 700 2081 5396 10254
650 1000 0 0 75 360 800 2158 6478 11296
650 1000 0 0 75 360 900 2236 7628 12283
650 1000 0 0 90 0 0 1618 80 125
650 1000 0 0 90 0 100 1682 562 2184
