DATE LAT LON BAND_1 BAND_2 BAND_3 BAND_4 BAND_5, BAND_9, CLM
20120620.0000 -12.9937 -46.6346 0.1783 0.3021 0.3691 302.1707 242.2665 295.9296 0.0000
20120620.0000 -12.9937 -46.5998 0.3760 0.4786 0.4299 296.6346 242.0986 287.5433 0.0000
20120620.0000 -12.9937 -46.5650 0.3760 0.4786 0.4299 296.6346 242.0986 287.5433 1.0000
20120620.0000 -12.9937 -46.5301 0.4642 0.5218 0.4153 290.4295 241.9299 280.7850 1.0000
20120620.0000 -12.9937 -46.4953 0.3504 0.3787 0.3574 292.5338 242.2106 284.5012 0.0000
20120620.0000 -12.9937 -46.4604 0.1821 0.2550 0.3172 298.4364 242.2665 291.9479 0.0000
20120620.0000 -12.9937 -46.4256 0.1821 0.2550 0.3172 298.4364 242.2665 291.9479 0.0000
20120620.0000 -12.9937 -46.3908 0.1120 0.2293 0.2930 300.7686 242.3222 296.8094 0.0000
20120620.0000 -12.9937 -46.3559 0.1442 0.2692 0.3073 301.0365 242.3222 295.9296 0.0000
20120620.0000 -12.9937 -46.3211 0.1442 0.2692 0.3073 301.0365 242.3222 295.9296 0.0000
20120620.0000 -12.9937 -46.2862 0.1973 0.3027 0.3471 300.7686 242.1547 292.4698 0.0000
20120620.0000 -12.9937 -46.2514 0.2154 0.3154 0.3502 300.2254 242.0986 292.4698 0.0000
20120620.0000 -12.9937 -46.2166 0.2154 0.3154 0.3502 300.2254 242.0986 292.4698 0.0000
20120620.0000 -13.0285 -50.5717 0.0978 0.2423 0.2420 296.7376 241.4758 294.1490 0.0000
20120620.0000 -13.0285 -50.5368 0.0992 0.2455 0.2568 297.1463 241.4758 294.7882 0.0000
20120620.0000 -13.0285 -50.5020 0.0992 0.2455 0.2568 297.1463 241.4758 294.7882 0.0000
20120620.0000 -13.0285 -50.4671 0.1050 0.2386 0.2950 298.8221 241.5899 295.4237 0.0000
20120620.0000 -13.0285 -50.4323 0.1064 0.2452 0.2982 299.1082 241.6468 295.6769 0.0000
20120620.0000 -13.0285 -50.3974 0.1064 0.2452 0.2982 299.1082 241.6468 295.6769 0.0000
