VZA VAZ SZA SAZ WV OZ AOT XA_RED XB_RED XC_RED XA_NIR XB_NIR XC_NIR XA_SWIR XB_SWIR XC_SWIR 
650 1075 0 0 60 180 600 298 12756 16061 428 8581 13171 1970 4365 9152
650 1075 0 0 60 180 700 311 14788 17461 446 10245 14566 2045 5371 10254
650 1075 0 0 60 180 800 323 16940 18784 464 12028 15888 2121 6449 11296
650 1075 0 0 60 180 900 336 19188 20040 481 13887 17129 2197 7593 12283
650 1075 0 0 60 240 0 231 3544 5207 329 1287 2023 1566 77 125
650 1075 0 0 60 240 100 241 4688 7504 344 2125 4468 1627 555 2184
650 1075 0 0 60 240 200 254 5996 9516 360 3121 6533 1692 1138 3868
650 1075 0 0 60 240 300 266 7462 11339 377 4289 8402 1759 1816 5362
650 1075 0 0 60 240 400 278 9076 13017 394 5591 10110 1828 2584 6722
650 1075 0 0 60 240 500 290 10838 14584 411 7037 11700 1898 3435 7979
650 1075 0 0 60 240 600 303 12748 16061 428 8581 13171 1970 4365 9152
650 1075 0 0 60 240 700 316 14779 17461 446 10244 14566 2045 5371 10254
650 1075 0 0 60 240 800 329 16931 18784 464 12028 15888 2121 6449 11296
650 1075 0 0 60 240 900 342 19178 20040 481 13886 17129 2197 7593 12283
650 1075 0 0 60 300 0 235 3538 5207 329 1287 2023 1566 77 125
650 1075 0 0 60 300 100 246 4681 7504 344 2125 4468 1627 555 2184
650 1075 0 0 60 300 200 258 5989 9516 360 3121 6533 1692 1138 3868
650 1075 0 0 60 300 300 270 7455 11339 377 4289 8402 1759 1816 5362
650 1075 0 0 60 300 400 282 9068 13017 394 5591 10110 1828 2584 6722
650 1075 0 0 60 300 500 295 10830 14584 411 7036 11700 1898 3435 7979
650 1075 0 0 60 300 600 308 12739 16061 428 8581 13171 1970 4365 9152
650 1075 0 0 60 300 700 321 14770 17461 446 10244 14566 2045 5371 10254
650 1075 0 0 60 300 800 334 16921 18784 464 12027 15888 2121 6449 11296
650 1075 0 0 60 300 900 347 19168 20040 481 13886 17129 2197 7593 12283
650 1075 0 0 60 360 0 238 3531 5207 329 1287 2023 1566 77 125
650 1075 0 0 60 360 100 250 4675 7504 345 2124 4468 1627 555 2184
