Start to generate file: class_mod_msg.csv
[  5.  46.   0.   3.   2.]
[  5.  37.  -1.   3.   3.]
[  1.  80.   3.   1.   3.]
[  1.  91.   4.   1.   3.]
[  1.  57.   1.   3.   3.]
[  1.  95.   4.   1.   3.]
[  1.  98.   5.   1.   3.]
[  1.  55.   0.   3.   3.]
[  1.  81.   3.   1.   3.]
[  1.  64.   1.   3.   2.]
[  1.  95.   4.   1.   3.]
[   1.  100.    5.    1.    3.]
[  1.  56.   1.   2.   0.]
[  5.  90.   4.   0.   0.]
[   5.  100.    5.    0.    2.]
[  5.  87.   4.   0.   0.]
[  5.  56.   1.   3.   0.]
[ 11.  54.   0.   0.   2.]
[ 11.  78.   3.   3.   2.]
[ 11.  61.   1.   0.   0.]
[ 11.  61.   1.   0.   0.]
[  5.  62.   1.   0.   0.]
[  5.  85.   4.   2.   0.]
[  5.  55.   0.   3.   2.]
[ 11.  69.   2.   0.   2.]
[ 11.  59.   1.   3.   2.]
[ 11.  61.   1.   0.   2.]
[ 11.  78.   3.   3.   1.]
[  5.  80.   3.   0.   2.]
[  5.  51.   0.   0.   0.]
[  5.  48.   0.   0.   2.]
[  5.  46.   0.   0.   2.]
[ 11.  61.   1.   3.   2.]
[  5.  59.   1.   0.   2.]
[  5.  62.   1.   0.   2.]
[ 11.  69.   2.   3.   2.]
[ 11.  54.   0.   0.   0.]
[ 11.  49.   0.   1.   0.]
[  1.  48.   0.   3.   0.]
[  1.  65.   2.   0.   2.]
[  1.  64.   1.   0.   3.]
[  1.  46.   0.   0.   3.]
[  5.  32.  -2.   0.   2.]
[  5.  37.  -1.   0.   3.]
[  1.  44.  -1.   2.   3.]
[ 11.  45.   0.   3.   0.]
[  5.  55.   0.   0.   0.]
[ 11.  42.  -1.   0.   0.]
[ 11.  59.   1.   0.   0.]
[ 11.  55.   0.   0.   0.]
[ 11.  71.   2.   3.   2.]
[ 11.  74.   2.   0.   2.]
[ 11.  56.   1.   0.   0.]
[ 11.  65.   2.   3.   0.]
[  5.  53.   0.   2.   0.]
[ 11.  52.   0.   0.   0.]
[  5.  78.   3.   2.   0.]
[  5.  59.   1.   0.   0.]
[ 11.  58.   1.   0.   2.]
[ 11.  83.   3.   3.   1.]
[ 11.  57.   1.   3.   1.]
[ 11.  51.   0.   1.   1.]
[  8.  40.  -1.   0.   1.]
[ 11.  38.  -1.   1.   2.]
[  5.  61.   1.   2.   0.]
[  8.  38.  -1.   1.   2.]
[  1.  53.   0.   0.   2.]
[  1.  47.   0.   0.   3.]
[  5.  34.  -2.   3.   3.]
[  1.  60.   1.   1.   3.]
[  1.  56.   1.   3.   3.]
[  1.  81.   3.   1.   3.]
[  1.  69.   2.   1.   3.]
[  1.  44.  -1.   2.   3.]
[  1.  46.   0.   1.   2.]
[  1.  95.   4.   1.   2.]
[  1.  97.   5.   3.   3.]
[  1.  48.   0.   2.   0.]
[  5.  99.   5.   2.   0.]
[  5.  89.   4.   0.   2.]
[  5.  66.   2.   0.   2.]
[  5.  98.   5.   0.   2.]
[  5.  30.  -2.   2.   0.]
[ 11.  50.   0.   0.   0.]
[ 11.  73.   2.   0.   2.]
[ 11.  84.   3.   3.   2.]
[ 11.  64.   1.   0.   0.]
[  5.  61.   1.   3.   0.]
[  5.  53.   0.   0.   0.]
[  5.  73.   2.   3.   2.]
[  5.  51.   0.   0.   2.]
[ 11.  79.   3.   3.   1.]
[ 11.  72.   2.   3.   2.]
[ 11.  51.   0.   0.   2.]
[ 11.  92.   4.   1.   2.]
[  5.  53.   0.   3.   2.]
[  5.  51.   0.   2.   2.]
[ 11.  53.   0.   3.   2.]
[ 11.  69.   2.   0.   2.]
[ 11.  68.   2.   3.   2.]
[  5.  54.   0.   3.   2.]
[  5.  85.   4.   0.   2.]
[ 11.  51.   0.   0.   0.]
[  5.  81.   3.   0.   0.]
[  5.  90.   4.   0.   0.]
[  5.  93.   4.   0.   0.]
[  1.  63.   1.   1.   0.]
[  1.  88.   4.   1.   3.]
[  1.  66.   2.   1.   3.]
[ 11.  41.  -1.   2.   3.]
[ 11.  52.   0.   0.   3.]
[  5.  52.   0.   2.   2.]
[  5.  59.   1.   3.   2.]
[  5.  47.   0.   3.   2.]
[ 11.  42.  -1.   3.   0.]
[ 11.  70.   2.   3.   0.]
[ 11.  51.   0.   0.   0.]
[ 11.  62.   1.   3.   2.]
